0, 0.0 0.334193259352 0.39976883426 0.857533267096 0.99331923994 0.0 0.0 0.0 0.0321687470908 0.241379 1.0 0.0 0.0 1.0;
1, 0.0 0.334249643392 0.399725682981 0.857512460981 0.993298683756 0.0 0.0 0.0 0.032267727851 0.241379 1.0 0.0 0.0 1.0;
2, 0.0 0.334306027431 0.399682531702 0.857491654867 0.993278127571 0.0 0.0 0.0 0.0323667086113 0.241379 1.0 0.0 0.0 1.0;
3, 0.0 0.334362411471 0.399639380423 0.857470848753 0.993257571386 0.0 0.0 0.0 0.0324656893716 0.241379 1.0 0.0 0.0 1.0;
4, 0.0 0.334418795511 0.399596229143 0.857450042639 0.993237015201 0.0 0.0 0.0 0.0325646701319 0.241379 1.0 0.0 0.0 1.0;
5, 0.0 0.334475179551 0.399553077864 0.857429236525 0.993216459016 0.0 0.0 0.0 0.0326636508922 0.241379 1.0 0.0 0.0 1.0;
6, 0.0 0.334531563591 0.399509926585 0.85740843041 0.993195902832 0.0 0.0 0.0 0.0327626316524 0.241379 1.0 0.0 0.0 1.0;
7, 0.0 0.334587947631 0.399466775306 0.857387624296 0.993175346647 0.0 0.0 0.0 0.0328616124127 0.241379 1.0 0.0 0.0 1.0;
8, 0.0 0.334644331671 0.399423624027 0.857366818182 0.993154790462 0.0 0.0 0.0 0.032960593173 0.241379 1.0 0.0 0.0 1.0;
9, 0.0 0.334700715711 0.399380472747 0.857346012068 0.993134234277 0.0 0.0 0.0 0.0330595739333 0.241379 1.0 0.0 0.0 1.0;
10, 0.0 0.334757099751 0.399337321468 0.857325205953 0.993113678092 0.0 0.0 0.0 0.0331585546936 0.241379 1.0 0.0 0.0 1.0;
11, 0.0 0.334813483791 0.399294170189 0.857304399839 0.993093121908 0.0 0.0 0.0 0.0332575354538 0.241379 1.0 0.0 0.0 1.0;
12, 0.0 0.33486986783 0.39925101891 0.857283593725 0.993072565723 0.0 0.0 0.0 0.0333565162141 0.241379 1.0 0.0 0.0 1.0;
13, 0.0 0.33492625187 0.399207867631 0.857262787611 0.993052009538 0.0 0.0 0.0 0.0334554969744 0.241379 1.0 0.0 0.0 1.0;
14, 0.0 0.33498263591 0.399164716352 0.857241981496 0.993031453353 0.0 0.0 0.0 0.0335544777347 0.241379 1.0 0.0 0.0 1.0;
15, 0.0 0.33503901995 0.399121565072 0.857221175382 0.993010897168 0.0 0.0 0.0 0.033653458495 0.241379 1.0 0.0 0.0 1.0;
16, 0.0 0.33509540399 0.399078413793 0.857200369268 0.992990340984 0.0 0.0 0.0 0.0337524392552 0.241379 1.0 0.0 0.0 1.0;
17, 0.0 0.33515178803 0.399035262514 0.857179563154 0.992969784799 0.0 0.0 0.0 0.0338514200155 0.241379 1.0 0.0 0.0 1.0;
18, 0.0 0.33520817207 0.398992111235 0.857158757039 0.992949228614 0.0 0.0 0.0 0.0339504007758 0.241379 1.0 0.0 0.0 1.0;
19, 0.0 0.33526455611 0.398948959956 0.857137950925 0.992928672429 0.0 0.0 0.0 0.0340493815361 0.241379 1.0 0.0 0.0 1.0;
